APPCH:010,A,R02,TANGY,TANGY,K7,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R02,TANGY,VINGR,K7,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,2899,0081,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R02,TYI,TYI,K7,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R02,TYI,VINGR,K7,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,0192,0085,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R02,VINGR,VINGR,K7,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,0188,0040,+,02000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R02, ,VINGR,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R02, ,SLAAW,K7,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0188,0067,+,02000,     ,     , ,   ,    ,   ,RW02,K7,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R02, ,YOSKY,K7,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,0188,0030,V,01040,01041,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R02, ,RW02,K7,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,0188,0027, ,00181,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R02, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0188,    ,+,00394,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R02, ,POORK,K6,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R02, ,POORK,K6,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1988,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R20,JOTMO,JOTMO,K6,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R20,JOTMO,POORK,K6,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,2889,0080,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R20,POORK,POORK,K6,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,1988,0040,+,02000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R20,ZAKED,ZAKED,K6,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R20,ZAKED,POORK,K6,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,1097,0080,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R20, ,POORK,K6,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R20, ,WAPEK,K7,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1988,0084,+,02000,     ,     , ,   ,    ,   ,RW20,K7,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R20, ,EXUZO,K7,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,1988,0030,V,01040,01050,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R20, ,RW20,K7,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,1988,0027, ,00190,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R20, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1988,    ,+,00344,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R20, ,VINGR,K7,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R20, ,VINGR,K7,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,0188,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
