APPCH:010,A,VOR-A,SYR,SYR,K6,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,3,N,C;
APPCH:020,A,VOR-A,SYR,EMPRI,K6,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:010,S,VOR-A, ,EMPRI,K6,P,C,E  I, ,   ,IF, ,SYR,K6,D, ,      ,2260,0069,    ,    ,+,02800,     ,18000, ,   ,    ,   , , , , , ,3,N,C;
APPCH:020,S,VOR-A, ,CIAFA,K6,P,C,E  F, ,   ,CF, ,SYR,K6,D, ,      ,2260,0120,2260,0050,+,02800,     ,     , ,   ,    ,   ,SYR,K6,D, , ,3,N,C;
APPCH:030,S,VOR-A, ,MAHAD,K6,P,C,EY M, ,   ,CF, ,SYR,K6,D, ,      ,2260,0180,2260,0060, ,01720,     ,     , ,   , 000,   , , , , , ,3,N,C;
APPCH:040,S,VOR-A, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2260,    ,+,01438,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:050,S,VOR-A, ,CIAFA,K6,P,C,EY  ,R,   ,CF,Y,SYR,K6,D, ,      ,2260,0120,0460,0060,+,02800,     ,     , ,   ,    ,   , , , , , ,3,N,C;
APPCH:060,S,VOR-A, ,CIAFA,K6,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2260,T010,+,02800,     ,     , ,   ,    ,   , , , , , ,3,N,C;
RWY:RW04 ,     ,      ,01039,D,    , ,   ;N42543724,W076264477,0000;
RWY:RW10 ,     ,      ,00999,D,    , ,   ;N42544935,W076263535,0243;
RWY:RW22 ,     ,      ,01012,D,    , ,   ;N42550724,W076262577,0000;
RWY:RW28 ,     ,      ,00994,D,    , ,   ;N42544668,W076255668,0000;
