SID:010,T,BENTN5,RW18, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1794,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:010,T,BENTN5,RW36, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3594,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
APPCH:010,A,R18,ZATEB,ZATEB,K3,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,1794,0040,+,03200,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R18, ,ZATEB,K3,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R18, ,OHGUP,K4,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1794,0058,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R18, ,MANBE,K4,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,1794,0036,V,01840,01907,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R18, ,RW18,K4,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,1794,0016, ,01334,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R18, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1794,    ,+,01548,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R18, ,KANGE,K4,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R18, ,KANGE,K4,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,3594,0040,+,03400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R36,KANGE,KANGE,K4,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,3594,0040,+,03400,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R36, ,KANGE,K4,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03400,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R36, ,IDOMY,K4,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3594,0058,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R36, ,RW36,K4,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,3594,0052, ,01338,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R36, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3594,    ,+,01548,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R36, ,ZATEB,K3,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R36, ,ZATEB,K3,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1794,0040,+,03200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,VOR-A,RZC,RZC,K4,D, ,VE A,R,   ,HF, , , , , ,      ,    ,    ,3173,T010,+,03100,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,S,VOR-A, ,RZC,K4,D, ,V  F, ,   ,IF, ,RZC,K4,D, ,      ,0000,0000,    ,    ,+,03100,     ,18000, ,   ,    ,   ,RZC,K4,D, , ,0, ,C;
APPCH:021,S,VOR-A, ,TAGSE,K4,P,C,E S , ,   ,CF, ,RZC,K4,D, ,      ,3174,0063,3173,0063,+,01960,     ,     , ,   , 000,   , , , , , ,0, ,C;
APPCH:030,S,VOR-A, ,WAMSE,K4,P,C,EY M, ,   ,CF, ,RZC,K4,D, ,      ,3173,0073,3173,0010, ,01780,     ,     , ,   , 000,   , , , , , ,0, ,C;
APPCH:040,S,VOR-A, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3173,    ,+,01698,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:050,S,VOR-A, ,RZC,K4,D, ,VY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:060,S,VOR-A, ,RZC,K4,D, ,VE  ,R,   ,HM, , , , , ,      ,    ,    ,3173,T010,+,03100,     ,     , ,   ,    ,   , , , , , ,0, ,C;
RWY:RW18 ,     ,+03648,01289,R,    , ,   ;N36210251,W094130943,0230;
RWY:RW36 ,     ,+03659,01293,R,    , ,   ;N36202102,W094130980,0000;
