APPCH:010,A,R11,ZIXEN,ZIXEN,K5,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,1114,0040,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R11, ,ZIXEN,K5,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R11, ,HUCIX,K5,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,1114,0057,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,        LP,N,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R11, ,UZXAM,K5,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,1114,0033,+,01460,     ,     , ,   , 000,   , , , , , ,A,J,S;
APPCH:030,R,R11, ,RW11,K5,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,1114,0022, ,01300,     ,     , ,   , 000,   , , , , , ,A,J,S;
APPCH:040,R,R11, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1114,    ,+,01121,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R11, ,DATAC,K5,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R11, ,DATAC,K5,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2917,0040,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R29,DATAC,DATAC,K5,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,2917,0040,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R29, ,DATAC,K5,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R29, ,ZUTOM,K5,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,2917,0057,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,        LP,N,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R29, ,WAKVU,K5,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,2916,0033,+,01440,     ,     , ,   , 000,   , , , , , ,A,J,S;
APPCH:030,R,R29, ,RW29,K5,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,2916,0022, ,01280,     ,     , ,   , 000,   , , , , , ,A,J,S;
APPCH:040,R,R29, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2916,    ,+,01121,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R29, ,ZIXEN,K5,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R29, ,ZIXEN,K5,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1114,0040,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW11 ,     ,      ,00721,R,    , ,   ;N38220327,W084172333,0000;
RWY:RW29 ,     ,      ,00718,R,    , ,   ;N38215598,W084164998,1094;
