APPCH:010,A,RNV-A,OAKIE,OAKIE,K7,E,A,EE A,R,   ,HF, , , , , ,      ,    ,    ,1691,0040,+,02000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNV-A, ,OAKIE,K7,E,A,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNV-A, ,YONLI,K7,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1691,0104,+,01800,     ,     , ,   ,    ,   ,RW15,K7,P,G, ,B,J,C;
APPCH:030,R,RNV-A, ,RW15,K7,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,1540,0041, ,00077,     ,     , ,   ,-400,   , , , , , ,B,J,C;
APPCH:040,R,RNV-A, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1540,    ,+,00430,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNV-A, ,KIQTU,K7,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNV-A, ,INDIA,K7,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,1732,0080,+,02000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:070,R,RNV-A, ,INDIA,K7,E,A,EE  ,L,   ,HM, , , , , ,      ,    ,    ,3532,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNV-B,INDIA,INDIA,K7,E,A,EE A,L,   ,HF, , , , , ,      ,    ,    ,3532,0040,+,02000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNV-B, ,INDIA,K7,E,A,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNV-B, ,KIQTU,K7,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3532,0080,+,01700,     ,     , ,   ,    ,   ,RW33,K7,P,G, ,B,J,C;
APPCH:030,R,RNV-B, ,RW33,K7,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,3340,0038, ,00079,     ,     , ,   ,-400,   , , , , , ,B,J,C;
APPCH:040,R,RNV-B, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3340,    ,+,00430,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNV-B, ,YONLI,K7,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNV-B, ,OAKIE,K7,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,3491,0104,+,02000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:070,R,RNV-B, ,OAKIE,K7,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1691,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
RWY:RW04 ,     ,      ,00027,D,    , ,   ;N28371382,W080501288,0100;
RWY:RW15 ,     ,-00206,00024,R,    , ,   ;N28373415,W080501566,0000;
RWY:RW22 ,     ,      ,00026,D,    , ,   ;N28372560,W080500446,0297;
RWY:RW33 ,     ,-00188,00030,R,    , ,   ;N28371266,W080500103,0429;
