APPCH:010,A,R22,LVM,LVM,K1,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R22,LVM,TUWMO,K1,P,C,EY  , ,020,TF, , , , , ,      ,    ,    ,0484,0133,+,08600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R22,LVM,TUWMO,K1,P,C,EE A,L,   ,HF, , , , , ,      ,    ,    ,2285,0070,+,08000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R22,SUBKY,SUBKY,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R22,SUBKY,TUWMO,K1,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,2808,0093,+,08000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R22, ,TUWMO,K1,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R22, ,AGMEW,K1,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,2285,0061,+,06900,     ,     , ,   ,    ,   ,NOMOF,K1,P,C, ,A,J,S;
PRDAT:A,        LP,N,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R22, ,WEPAP,K1,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,2284,0041,V,05580,05582,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R22, ,NOMOF,K1,P,C,EY M, ,031,TF, , , , , ,      ,    ,    ,2283,0023, ,04846,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R22, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2283,    ,+,05400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R22, ,ACAPE,K1,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R22, ,NUKUW,K1,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,2884,0074,+,10000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:070,R,R22, ,NUKUW,K1,E,A,EE  ,L,   ,HM, , , , , ,      ,    ,    ,1267,0070,+,10000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,VDM-B,LVM,LVM,K1,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VDM-B,LVM,MODOC,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,10000,08700,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,VDM-B,LVM,MODOC,K1,P,C,E  A,R,   ,PI, ,LVM,K1,D, ,      ,3250,0040,2800,0120,+,08700,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:040,A,VDM-B,LVM,CIDUK,K1,P,C,EE  , ,   ,CF, ,LVM,K1,D, ,      ,3250,0080,1450,0080,+,07400,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,D,VDM-B, ,CIDUK,K1,P,C,E  I, ,   ,IF, ,LVM,K1,D, ,      ,3250,0080,    ,    ,+,07400,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,D,VDM-B, ,MODOC,K1,P,C,E  F, ,   ,CF, ,LVM,K1,D, ,      ,3250,0040,1450,0040,+,06300,     ,     , ,   ,    ,   ,LVM,K1,D, ,A,0, ,C;
APPCH:030,D,VDM-B, ,LIVIY,K1,P,C,EY M, ,   ,CF, ,LVM,K1,D, ,      ,3249,0005,1450,0035, ,05580,     ,     , ,   , 000,   , , , , , ,0, ,C;
APPCH:040,D,VDM-B, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1450,    ,+,05059,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:050,D,VDM-B, ,ZIDAN,K1,P,C,EY  , ,   ,CF, ,LVM,K1,D, ,      ,0700,0140,0700,0141, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:060,D,VDM-B, ,LVM,K1,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,09900,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:070,D,VDM-B, ,LVM,K1,D, ,VE  ,R,   ,HM, , , , , ,      ,    ,    ,2500,T010,+,09900,     ,     , ,   ,    ,   , , , , , ,0, ,C;
RWY:RW04 ,     ,      ,04650,D,    , ,   ;N45413596,W110271827,0000;
RWY:RW08 ,     ,      ,04659,D,    , ,   ;N45420549,W110272285,0000;
RWY:RW13 ,     ,      ,04659,D,    , ,   ;N45421193,W110271405,0000;
RWY:RW22 ,     ,      ,04646,R,    , ,   ;N45420852,W110261277,0000;
RWY:RW26 ,     ,      ,04650,D,    , ,   ;N45420361,W110262993,0000;
RWY:RW31 ,     ,      ,04652,D,    , ,   ;N45414942,W110265308,0000;
