SID:010,2,AKNO1A,RW17L,DE17L,SA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,BCA,SA,D, ,B, , , ;
SID:020,2,AKNO1A,RW17L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1670,    ,+,00800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,AKNO1A,RW17L,ZB051,SA,P,C,E   , ,   ,CF, ,BCA,SA,D, ,      ,2180,0120,2180,0100, ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,AKNO1A,RW17L,D324L,SA,P,C,E   ,R,   ,AF, ,BCA,SA,D, ,      ,3243,0120,2180,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,AKNO1A,RW17L,AKNOS,SA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AKNO1C,RW17L,DE17L,SA,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,SAZB,SA,P,A, , , , ;
SID:020,5,AKNO1C,RW17L, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,1670,    ,+,00800,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,AKNO1C,RW17L,ZB058,SA,P,C,E   ,R,010,CF, ,BCA,SA,D, ,      ,2353,0101,2630,0070, ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,AKNO1C,RW17L,ZB713,SA,P,C,E   ,R,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:050,5,AKNO1C,RW17L,AKNOS,SA,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,AKNO1E,RW35R,DE35R,SA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,BCA,SA,D, ,B, , , ;
SID:020,2,AKNO1E,RW35R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3440,    ,+,00800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,AKNO1E,RW35R,AKNOS,SA,E,A,EEC , ,   ,CF, ,BCA,SA,D, ,      ,3243,0550,3240,0530, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AKNO1G,RW35R,DE35R,SA,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,SAZB,SA,P,A, , , , ;
SID:020,5,AKNO1G,RW35R, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,3440,    ,+,00800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AKNO1G,RW35R,ZB713,SA,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,AKNO1G,RW35R,AKNOS,SA,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AKNO1K,RW06,ZB712,SA,P,C,EY  , ,010,CF, ,BCA,SA,D, ,      ,0615,0029,0640,0030, ,     ,     ,03000,-,250,    ,   ,SAZB,SA,P,A, , , , ;
SID:020,5,AKNO1K,RW06,ZB747,SA,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,AKNO1K,RW06,AKNOS,SA,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AKNO1M,RW24,ZB067,SA,P,C,EY  , ,010,CF, ,BCA,SA,D, ,      ,2453,0041,2440,0028, ,     ,     ,03000, ,   ,    ,   ,SAZB,SA,P,A, , , , ;
SID:020,5,AKNO1M,RW24,ZB713,SA,P,C,E   ,R,010,CF, ,BCA,SA,D, ,      ,3243,0180,3540,0177, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AKNO1M,RW24,AKNOS,SA,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DAMI1A,RW17L,DE17L,SA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,BCA,SA,D, ,B, , , ;
SID:020,2,DAMI1A,RW17L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1670,    ,+,00800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DAMI1A,RW17L,ZB051,SA,P,C,E   , ,   ,CF, ,BCA,SA,D, ,      ,2180,0120,2180,0100, ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
