APPCH:010,A,R03,GADIP,GADIP,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R03,GADIP,DEBLU,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02900,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R03,IGTUB,IGTUB,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R03,IGTUB,DEBLU,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02900,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R03, ,DEBLU,CY,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02900,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R03, ,DARIK,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0360,0050,+,02840,     ,     , ,   ,    ,   ,RW03,CY,P,G,A,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R03, ,RW03,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0360,0050, ,00982,     ,     , ,   ,-350,   , , , , , ,B,J,S;
APPCH:040,R,R03, ,IGTUB,CY,P,C,EYM ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,03300,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R03, ,IGTUB,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,3060,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,RNVA,PELNU,PELNU,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,U,C;
APPCH:020,A,RNVA,PELNU,MATEV,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,A,RNVA,RAGEK,RAGEK,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,U,C;
APPCH:020,A,RNVA,RAGEK,MATEV,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:010,R,RNVA, ,MATEV,CY,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,18000, ,   ,    ,   , , , , , ,B,U,C;
APPCH:020,R,RNVA, ,LERUB,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2310,0050,+,02200,     ,     , ,   ,    ,   ,RW21,CY,P,G,A,B,U,C;
APPCH:025,R,RNVA, ,KEBGA,CY,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,2310,0023,+,02080,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:030,R,RNVA, ,RW21,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2310,0027, ,01720,     ,     , ,   , 000,   , , , , , ,B,U,C;
APPCH:040,R,RNVA, ,AGNOR,CY,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,02900,     ,     , ,   ,    ,   , , , , , ,B,U,C;
APPCH:050,R,RNVA, ,AGNOR,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,2310,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,B,U,C;
RWY:RW03 ,     ,      ,00932, ,    , ,   ;N47574165,W084472672,0000;
RWY:RW21 ,     ,      ,00940, ,    , ,   ;N47581381,W084465977,0689;
