SID:010,5,ABAN4A,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2400,    ,+,01000,     ,03000, ,   ,    ,   ,MUHA,MU,P,A, , , , ;
SID:020,5,ABAN4A,RW24,WOLSE,MU,P,C,EY  , ,   ,CF, ,UHA,MU,D, ,      ,2390,0104,2400,0104, ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:030,5,ABAN4A,RW24,UHA,MU,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABAN4C,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0600,    ,+,FL040,     ,03000, ,   ,    ,   ,MUHA,MU,P,A, , , , ;
SID:030,5,ABAN4C,RW06,UHA,MU,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ALMIT2,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0600,    ,+,02000,     ,03000, ,   ,    ,   ,MUHA,MU,P,A, , , , ;
SID:020,5,ALMIT2,RW06,ALMIT,MU,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ALMIT2,TANIA,ALMIT,MU,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,MUHA,MU,P,A, , , , ;
SID:020,6,ALMIT2,TANIA,TANIA,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DUTA4B,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2400,    ,+,01500,     ,03000, ,   ,    ,   ,MUHA,MU,P,A, , , , ;
SID:020,5,DUTA4B,RW24,DUTAN,MU,E,A,EE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,DUTA4B,AMITU,DUTAN,MU,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,MUHA,MU,P,A, , , , ;
SID:020,6,DUTA4B,AMITU,AMITU,MU,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,DUTA4B,LACET,DUTAN,MU,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,MUHA,MU,P,A, , , , ;
