SID:010,5,BOK1,RW20,ILTOK,SA,P,C,E   , ,010,CF, ,SAL,SA,D, ,      ,1989,0073,1990,0060,+,05300,     ,09000,-,220,    ,   ,SASA,SA,P,A, , , , ;
SID:020,5,BOK1,RW20,MUBOK,SA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BOK1,RW20,PONPI,SA,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,IXU1,RW02,USIXU,SA,P,C,E   , ,010,CF, ,SAL,SA,D, ,      ,0176,0064,0190,0060,+,05100,     ,09000,-,220,    ,   ,SASA,SA,P,A, , , , ;
SID:030,5,IXU1,RW02,KIBOS,SA,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,KAB1,RW20,ILTOK,SA,P,C,E   , ,010,CF, ,SAL,SA,D, ,      ,1989,0073,1990,0060,+,05300,     ,09000,-,220,    ,   ,SASA,SA,P,A, , , , ;
SID:030,5,KAB1,RW20,SA934,SA,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07200,     ,     ,-,250,    ,   , , , , , , , , ;
SID:040,5,KAB1,RW20,ANKAB,SA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,KAB1,RW20,SA917,SA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,KAB1,RW20,JUJ,SA,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KEVA2A,RW24,KEVAS,SA,P,C,E   , ,   ,CF, ,SAL,SA,D, ,      ,2372,0025,2390,0025, ,     ,     ,09000, ,   ,    ,   ,SASA,SA,P,A, , , , ;
SID:030,2,KEVA2A,RW24,KEVAS,SA,P,C,E   , ,   ,FD, ,SAL,SA,D, ,      ,2372,0025,2390,0042,+,05400,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KEVA2A,RW24,SAL,SA,D, ,VE H,L,   ,CF,Y,SAL,SA,D, ,      ,0000,0000,0310,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,KIBO2A,RW02, , , , ,    , ,   ,VD, ,SAL,SA,D, ,      ,    ,    ,0190,0040,+,04950,     ,09000, ,   ,    ,   ,SASA,SA,P,A, , , , ;
SID:020,1,KIBO2A,RW02, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,0750,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,1,KIBO2A,RW02,KIBOS,SA,E,A,EE  , ,   ,CF, ,SAL,SA,D, ,      ,0456,0145,0450,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,KIBO2A,RW06, , , , ,    , ,   ,VD, ,SAL,SA,D, ,      ,    ,    ,0590,0029,+,04480,     ,09000, ,   ,    ,   ,SASA,SA,P,A, , , , ;
SID:015,1,KIBO2A,RW06, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,0150,    , ,     ,     ,     ,-,190,    ,   , , , , , , , , ;
SID:020,1,KIBO2A,RW06,KIBOS,SA,E,A,EE  , ,   ,CF, ,SAL,SA,D, ,      ,0456,0145,0450,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,KIBO2A,RW20, , , , ,    , ,   ,VD, ,SAL,SA,D, ,      ,    ,    ,1990,0056,+,05150,     ,09000, ,   ,    ,   ,SASA,SA,P,A, , , , ;
SID:020,1,KIBO2A,RW20,SAL,SA,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,190,    ,   , , , , , , , , ;
SID:030,1,KIBO2A,RW20,KIBOS,SA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,PONP3A,RW02, , , , ,    , ,   ,VD, ,SAL,SA,D, ,      ,    ,    ,0190,0040,+,05250,     ,09000, ,   ,    ,   ,SASA,SA,P,A, , , , ;
SID:020,1,PONP3A,RW02, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,2150,    , ,     ,     ,     ,-,190,    ,   , , , , , , , , ;
SID:030,1,PONP3A,RW02,PONPI,SA,E,A,EEC , ,   ,CF, ,SAL,SA,D, ,      ,1774,0548,1770,0510,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,PONP3A,RW06, , , , ,    , ,   ,VD, ,SAL,SA,D, ,      ,    ,    ,0590,0075,+,06070,     ,09000, ,   ,    ,   ,SASA,SA,P,A, , , , ;
SID:020,1,PONP3A,RW06,SAL,SA,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,190,    ,   , , , , , , , , ;
SID:030,1,PONP3A,RW06,PONPI,SA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,PONP3A,RW20, , , , ,    , ,   ,VD, ,SAL,SA,D, ,      ,    ,    ,1990,0056,+,05150,     ,09000, ,   ,    ,   ,SASA,SA,P,A, , , , ;
SID:020,1,PONP3A,RW20, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1470,    , ,     ,     ,     ,-,190,    ,   , , , , , , , , ;
