APPCH:010,A,R23,MGW,MGW,K6,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R23,MGW,RUBIC,K6,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,2983,0077,+,03900,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R23,TEDDS,TEDDS,K6,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R23,TEDDS,LEFSO,K6,E,A,E  A, ,020,TF, , , , , ,      ,    ,    ,0897,0093,+,04200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R23,TEDDS,RUBIC,K6,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,1525,0048,+,03900,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R23, ,RUBIC,K6,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03900,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:011,R,R23, ,NOPPO,K6,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,2264,0042,+,02900,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R23, ,BICKE,K6,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2264,0019,+,02700,     ,     , ,   ,    ,   ,RW23,K6,P,G, ,B,J,S;
PRDAT:N,          ,N,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R23, ,RW23,K6,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,2264,0051, ,01053,     ,     , ,   , 000,   , , , , , ,B,J,S;
APPCH:040,R,R23, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2264,    ,+,01432,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R23, ,TEDDS,K6,E,A,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R23, ,TEDDS,K6,E,A,EE  ,L,   ,HM, , , , , ,      ,    ,    ,1134,0040,+,04000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,VOR-A,CKB,CKB,K6,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VOR-A,CKB,STAKE,K6,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03800,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:030,A,VOR-A,CKB,STAKE,K6,P,C,EE A,R,   ,HF, ,MGW,K6,D, ,      ,2510,0050,2510,T010,+,03800,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,A,VOR-A,MGW,MGW,K6,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VOR-A,MGW,STAKE,K6,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03800,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,V,VOR-A, ,STAKE,K6,P,C,E  I, ,   ,IF, ,MGW,K6,D, ,      ,2510,0050,    ,    ,+,03800,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:011,V,VOR-A, ,MIXPI,K6,P,C,E   , ,   ,CF, ,MGW,K6,D, ,      ,2510,0080,2510,0030,+,03700,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,V,VOR-A, ,KEMZO,K6,P,C,E  F, ,   ,CF, ,MGW,K6,D, ,      ,2510,0120,2510,0040,+,02900,     ,     , ,   ,    ,   ,MGW,K6,D, , ,0, ,C;
APPCH:030,V,VOR-A, ,EGAPY,K6,P,C,EY M, ,   ,CF, ,MGW,K6,D, ,      ,2510,0155,2510,0035, ,01063,     ,     , ,   ,-499,   , , , , , ,0, ,C;
APPCH:040,V,VOR-A, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2510,    ,+,01432,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:050,V,VOR-A, , , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,0200,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:060,V,VOR-A, ,STAKE,K6,P,C,EY  , ,   ,CF, ,MGW,K6,D, ,      ,2510,0050,0710,0040,+,03800,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:070,V,VOR-A, ,STAKE,K6,P,C,EE  ,R,   ,HM, ,MGW,K6,D, ,      ,2510,0050,2510,T010,+,03800,     ,     , ,   ,    ,   , , , , , ,0, ,C;
RWY:RW05 ,     ,+02804,01027,D,    , ,   ;N39264516,W080100937,0720;
RWY:RW23 ,     ,+02761,01013,R,    , ,   ;N39270280,W080095203,0000;
