SID:010,5,BADO7A,RW04B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0430,    ,+,00420,     ,05000, ,   ,    ,   ,LFMN,LF,P,A, , , , ;
SID:020,5,BADO7A,RW04B,MN047,LF,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BADO7A,RW04B,MN064,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BADO7A,RW04B,ORKAC,LF,E,A,E   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,5,BADO7A,RW04B,AMIRO,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BADO7A,RW04B,BADOD,LF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BADO7C,RW04B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0430,    ,+,00420,     ,05000, ,   ,    ,   ,LFMN,LF,P,A, , , , ;
SID:020,5,BADO7C,RW04B, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BADO7C,RW04B,MN149,LF,P,C,EY  , ,   ,CF, ,AZR,LF,D, ,      ,0836,0115,0670,0080, ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,BADO7C,RW04B,NIZ,LF,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BADO7C,RW04B,BADOD,LF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BADO7X,RW22L,MN222,LF,P,C,E   , ,   ,CF, ,AZR,LF,D, ,      ,2245,0047,2230,0040, ,     ,     ,05000, ,   ,    ,   ,LFMN,LF,P,A, , , , ;
SID:020,4,BADO7X,RW22L,MN223,LF,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BADO7X,RW22R,MN221,LF,P,C,E   , ,   ,CF, ,AZR,LF,D, ,      ,2266,0047,2230,0040, ,     ,     ,05000, ,   ,    ,   ,LFMN,LF,P,A, , , , ;
SID:020,4,BADO7X,RW22R,MN223,LF,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BADO7X, ,MN223,LF,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LFMN,LF,P,A, , , , ;
SID:020,5,BADO7X, ,MN224,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BADO7X, ,MN226,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,BADO7X, ,AMIRO,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BADO7X, ,BADOD,LF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BADO7Z,RW22L,MN222,LF,P,C,E   , ,   ,CF, ,AZR,LF,D, ,      ,2245,0047,2230,0040, ,     ,     ,05000, ,   ,    ,   ,LFMN,LF,P,A, , , , ;
SID:020,4,BADO7Z,RW22L,MN223,LF,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
