SID:010,5,ALRI1C,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1110,    ,+,01200,     ,18500,-,200,    ,   ,CSL,MM,D, , , , , ;
SID:020,5,ALRI1C,RW11,SL502,MM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ALRI1C,RW11,SL504,MM,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ALRI1C,RW11,AVAVU,MM,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ALRI1C,RW11,SD507,MM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ALRI1C,RW11,SD508,MM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ALRI1C,RW11,SD403,MM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ALRI1C,RW11,ALRIN,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ALRI1D,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2910,    ,+,01100,     ,18500, ,   ,    ,   ,CSL,MM,D, , , , , ;
SID:020,5,ALRI1D,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2760,    ,+,01200,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,ALRI1D,RW29,SL500,MM,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:040,5,ALRI1D,RW29,SL503,MM,P,C,E   ,L,   ,CF,Y,CSL,MM,D, ,      ,1602,0106,1100,0130,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ALRI1D,RW29,SL502,MM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ALRI1D,RW29,SL504,MM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ALRI1D,RW29,AVAVU,MM,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ALRI1D,RW29,SD507,MM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,ALRI1D,RW29,SD508,MM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,ALRI1D,RW29,SD403,MM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:110,5,ALRI1D,RW29,ALRIN,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ANEG1C,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1110,    ,+,01200,     ,18500,-,200,    ,   ,CSL,MM,D, , , , , ;
SID:020,5,ANEG1C,RW11,SL600,MM,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ANEG1C,RW11,LETAT,MM,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ANEG1C,RW11,ANEGO,MM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ANEG1D,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2910,    ,+,01100,     ,18500, ,   ,    ,   ,CSL,MM,D, , , , , ;
SID:020,5,ANEG1D,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2760,    ,+,01200,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,ANEG1D,RW29,SL500,MM,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:040,5,ANEG1D,RW29,LETAT,MM,E,A,E C , ,   ,CF, ,CSL,MM,D, ,      ,3033,0300,3130,0250, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ANEG1D,RW29,ANEGO,MM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ATUMI2,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2910,    ,+,01100,     ,18500, ,   ,    ,   ,CSL,MM,D, , , , , ;
SID:020,2,ATUMI2,RW29,CSL,MM,D, ,V   , ,   ,FD, ,CSL,MM,D, ,      ,0000,0000,2720,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ATUMI2,RW29, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2720,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ATUMI2,RW29,D331J,MM,P,C,E   ,R,   ,AF, ,CSL,MM,D, ,      ,3312,0100,2720,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ATUMI2,RW29,ATUMI,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AVAV1D,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1110,    ,+,01200,     ,18500,-,200,    ,   ,CSL,MM,D, , , , , ;
SID:020,5,AVAV1D,RW11,SL502,MM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AVAV1D,RW11,SL504,MM,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,AVAV1D,RW11,AVAVU,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AVAV1E,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2910,    ,+,01100,     ,18500, ,   ,    ,   ,CSL,MM,D, , , , , ;
SID:020,5,AVAV1E,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2760,    ,+,01200,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,AVAV1E,RW29,SL500,MM,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
