SID:010,2,ARBO8N,RW04,D044H,LS,P,C,E   , ,   ,CF, ,GVA,LS,D, ,      ,0440,0080,0440,0090, ,     ,     ,07000, ,   ,    ,   ,GVA,LS,D, , , , , ;
SID:015,2,ARBO8N,RW04,D044J,LS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ARBO8N,RW04,D044J,LS,P,C,E   , ,   ,FA, ,GVA,LS,D, ,      ,0440,0095,0440,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ARBO8N,RW04, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0140,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ARBO8N,RW04,LEGVO,LS,P,C,E   , ,   ,CF, ,SPR,LS,D, ,      ,3287,0137,3290,0110, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:045,2,ARBO8N,RW04,SPR26,LS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ARBO8N,RW04,ARBOS,LF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BALS7A,RW22,PAS,LS,D, ,V   , ,   ,CF, ,PAS,LS,D, ,      ,0000,0000,2240,0060, ,     ,     ,07000, ,   ,    ,   ,GVA,LS,D, , , , , ;
SID:030,2,BALS7A,RW22,PAS,LS,D, ,V   , ,   ,FA, ,PAS,LS,D, ,      ,0000,0000,2240,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BALS7A,RW22,D180J,LF,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BALS7A,RW22,RUMIL,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,BALS7A,RW22,D180V,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,BALS7A,RW22,BEVEN,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,BALS7A,RW22,BALSI,LF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,BALS9N,RW04,D044H,LS,P,C,E   , ,   ,CF, ,GVA,LS,D, ,      ,0440,0080,0440,0090, ,     ,     ,07000, ,   ,    ,   ,GVA,LS,D, , , , , ;
SID:010,2,BALS9N,RW04,D044H,LS,P,C,E   , ,   ,FA, ,GVA,LS,D, ,      ,0440,0080,0440,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BALS9N,RW04, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,1840,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BALS9N,RW04,D180I,LF,P,C,E   , ,   ,CF, ,PAS,LS,D, ,      ,1800,0087,2290,0260, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BALS9N,RW04,D180J,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BALS9N,RW04,RUMIL,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,BALS9N,RW04,LINNA,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,BALS9N,RW04,BEVEN,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
