APPCH:010,A,R29,PRIGS,PRIGS,K3,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,2904,0050,+,04600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R29, ,PRIGS,K3,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R29, ,RAGLY,K3,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2904,0050,+,04000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R29, ,SUETY,K3,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,2903,0035,V,02900,02900,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R29, ,RW29,K3,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,2903,0024, ,02131,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R29, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2903,    ,+,02341,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R29, ,TROKE,K3,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R29, ,TROKE,K3,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1100,0050,+,04600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW11 ,     ,      ,02091,V,    , ,   ;N46490005,W101521896,0000;
RWY:RW29 ,     ,+06179,02091,R,    , ,   ;N46484290,W101513038,0000;
