APPCH:010,A,R06,ABELT,ABELT,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R06,ABELT,DUXUV,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R06,ELEVO,ELEVO,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R06,ELEVO,DUXUV,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R06, ,DUXUV,CY,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R06, ,XOSAN,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0570,0050,+,02100,     ,     , ,   ,    ,   ,RW06,CY,P,G, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R06, ,RW06,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0570,0041, ,00773,     ,     , ,   ,-304,   , , , , , ,B,J,S;
APPCH:040,R,R06, ,URPIX,CY,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,02200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R06, ,URPIX,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,0570,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R24,NAGTA,NAGTA,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R24,NAGTA,EMETI,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R24,USBEM,USBEM,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R24,USBEM,EMETI,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R24, ,EMETI,CY,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R24, ,DUKDU,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2370,0050,+,02100,     ,     , ,   ,    ,   ,RW24,CY,P,G, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R24, ,ALNOB,CY,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,2370,0019,+,01510,     ,     , ,   ,-304,   , , , , , ,B,J,S;
APPCH:030,R,R24, ,RW24,CY,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2370,0022, ,00784,     ,     , ,   ,-304,   , , , , , ,B,J,S;
APPCH:040,R,R24, ,NORER,CY,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,02200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R24, ,NORER,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,2370,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
RWY:RW06 ,     ,      ,00723, ,    , ,   ;N53572030,W097510731,0000;
RWY:RW24 ,     ,      ,00734, ,    , ,   ;N53573938,W097501066,0000;
