SID:005,5,GEN6E,RW28, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2820,    ,+,00420,     ,07000, ,   ,    ,   ,LIMJ,LI,P,A, , , , ;
SID:010,5,GEN6E,RW28, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2830,    ,+,00800,     ,     ,-,185,    ,   , , , , , , , , ;
SID:020,5,GEN6E,RW28, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1350,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,GEN6E,RW28,IXITO,LI,E,A,EY  , ,   ,CF, ,GEN,LI,D, ,      ,2118,0211,1800,0130,+,04500,     ,     ,-,185,    ,   , , , , , , , , ;
SID:040,5,GEN6E,RW28,ANAKI,LI,E,A,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:050,5,GEN6E,RW28,GEN,LI,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,GEN6F,RW10, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1020,    ,+,00420,     ,07000, ,   ,    ,   ,LIMJ,LI,P,A, , , , ;
SID:010,5,GEN6F,RW10, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1030,    ,+,00800,     ,     ,-,185,    ,   , , , , , , , , ;
SID:020,5,GEN6F,RW10, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,2250,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,GEN6F,RW10,IXITO,LI,E,A,EY  , ,   ,CF, ,GEN,LI,D, ,      ,2118,0211,1800,0120,+,04500,     ,     ,-,185,    ,   , , , , , , , , ;
SID:040,5,GEN6F,RW10,ANAKI,LI,E,A,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:050,5,GEN6F,RW10,GEN,LI,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,GEN9K,RW10, , , , ,    , ,   ,CD, ,SES,LI,D, ,      ,    ,    ,1020,0030, ,     ,     ,07000, ,   ,    ,   ,SES,LI,D, , , , , ;
SID:015,1,GEN9K,RW10, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,2180,    , ,     ,     ,     ,-,185,    ,   , , , , , , , , ;
SID:020,1,GEN9K,RW10,IXITO,LI,E,A,EYC , ,   ,CF, ,GEN,LI,D, ,      ,2118,0211,1800,0090,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,GEN9K,RW10,ANAKI,LI,E,A,E C ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,GEN9K,RW10,GEN,LI,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,GEN9K,RW28,D280B,LI,P,C,EY  , ,   ,CF, ,SES,LI,D, ,      ,2776,0015,2820,0020, ,     ,     ,07000, ,   ,    ,   ,SES,LI,D, , , , , ;
SID:015,1,GEN9K,RW28, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,1480,    , ,     ,     ,     ,-,185,    ,   , , , , , , , , ;
SID:020,1,GEN9K,RW28,IXITO,LI,E,A,EYC , ,   ,CF, ,GEN,LI,D, ,      ,2118,0211,1800,0100,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,GEN9K,RW28,ANAKI,LI,E,A,E C ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,GEN9K,RW28,GEN,LI,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,LAGE6E,RW28, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2820,    ,+,00420,     ,07000, ,   ,    ,   ,LIMJ,LI,P,A, , , , ;
SID:010,5,LAGE6E,RW28, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2830,    ,+,00800,     ,     ,-,185,    ,   , , , , , , , , ;
SID:020,5,LAGE6E,RW28, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1350,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,LAGE6E,RW28,IXITO,LI,E,A,EY  , ,   ,CF, ,GEN,LI,D, ,      ,2118,0211,1800,0130,+,04500,     ,     ,-,185,    ,   , , , , , , , , ;
SID:040,5,LAGE6E,RW28,ANAKI,LI,E,A,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:050,5,LAGE6E,RW28,LAGEN,LI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     ,-,230,    ,   , , , , , , , , ;
SID:005,5,LAGE6F,RW10, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1020,    ,+,00420,     ,07000, ,   ,    ,   ,LIMJ,LI,P,A, , , , ;
SID:010,5,LAGE6F,RW10, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1030,    ,+,00800,     ,     ,-,185,    ,   , , , , , , , , ;
SID:020,5,LAGE6F,RW10, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,2250,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,LAGE6F,RW10,IXITO,LI,E,A,EY  , ,   ,CF, ,GEN,LI,D, ,      ,2118,0211,1800,0120,+,04500,     ,     ,-,185,    ,   , , , , , , , , ;
SID:040,5,LAGE6F,RW10,ANAKI,LI,E,A,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:050,5,LAGE6F,RW10,LAGEN,LI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     ,-,230,    ,   , , , , , , , , ;
SID:010,1,LAGE9K,RW10, , , , ,    , ,   ,CD, ,SES,LI,D, ,      ,    ,    ,1020,0030, ,     ,     ,07000, ,   ,    ,   ,SES,LI,D, , , , , ;
SID:015,1,LAGE9K,RW10, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,2180,    , ,     ,     ,     ,-,185,    ,   , , , , , , , , ;
SID:020,1,LAGE9K,RW10,IXITO,LI,E,A,EYC , ,   ,CF, ,GEN,LI,D, ,      ,2118,0211,1800,0090,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,LAGE9K,RW10,ANAKI,LI,E,A,E C ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,LAGE9K,RW10,LAGEN,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,LAGE9K,RW28,D280B,LI,P,C,EY  , ,   ,CF, ,SES,LI,D, ,      ,2776,0015,2820,0020, ,     ,     ,07000, ,   ,    ,   ,SES,LI,D, , , , , ;
SID:015,1,LAGE9K,RW28, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,1480,    , ,     ,     ,     ,-,185,    ,   , , , , , , , , ;
SID:020,1,LAGE9K,RW28,IXITO,LI,E,A,EYC , ,   ,CF, ,GEN,LI,D, ,      ,2118,0211,1800,0100,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
