SID:010,2,DEBRO1,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2880,    ,+,05420,     ,18500, ,   ,    ,   ,GDL,MM,D, , , , , ;
SID:020,2,DEBRO1,RW29,GDL,MM,D, ,V   , ,   ,FD, ,GDL,MM,D, ,      ,0000,0000,2880,0130, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DEBRO1,RW29, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2880,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DEBRO1,RW29,D254P,MM,P,C,E   ,L,   ,AF, ,GDL,MM,D, ,      ,2547,0160,2880,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,DEBRO1,RW29,DEBRO,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DUNSU1,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2880,    ,+,05420,     ,18500, ,   ,    ,   ,GDL,MM,D, , , , , ;
SID:020,2,DUNSU1,RW29,GDL,MM,D, ,V   , ,   ,FD, ,GDL,MM,D, ,      ,0000,0000,2880,0160, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DUNSU1,RW29,D269V,MM,P,C,E   , ,   ,CF, ,GDL,MM,D, ,      ,2697,0220,2330,0086, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DUNSU1,RW29,DUNSU,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EBDEG1,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,05420,     ,18500, ,   ,    ,   ,GDL,MM,D, , , , , ;
SID:020,2,EBDEG1,RW11,GDL,MM,D, ,V   , ,   ,FD, ,GDL,MM,D, ,      ,0000,0000,1080,0160, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EBDEG1,RW11,D127V,MM,P,C,E   , ,   ,CF, ,GDL,MM,D, ,      ,1270,0220,1640,0086, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,EBDEG1,RW11,EBDEG,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EMIG1A,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,05420,     ,18500, ,   ,    ,   ,GDL,MM,D, , , , , ;
SID:020,2,EMIG1A,RW11,GDL,MM,D, ,V   , ,   ,FD, ,GDL,MM,D, ,      ,0000,0000,1080,0130, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EMIG1A,RW11, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1080,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,EMIG1A,RW11,D215P,MM,P,C,E   ,R,   ,AF, ,GDL,MM,D, ,      ,2152,0160,1080,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,EMIG1A,RW11,EMIGU,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EMIG1B,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2880,    ,+,05420,     ,18500, ,   ,    ,   ,GDL,MM,D, , , , , ;
SID:020,2,EMIG1B,RW29,GDL,MM,D, ,V   , ,   ,FD, ,GDL,MM,D, ,      ,0000,0000,2880,0130, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EMIG1B,RW29, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2880,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
