SID:010,1,LAR1,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0330,    ,+,07684,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,LAR1,RW03,LAR,K1,D, ,VE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,LAR1,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1220,    ,+,07684,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,LAR1,RW12,LAR,K1,D, ,VE H,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,LAR1,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2130,    ,+,07684,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,LAR1,RW21,LAR,K1,D, ,VE H,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,LAR1,RW30,LAR,K1,D, ,VE H, ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
APPCH:010,A,D30,FLEMS,FLEMS,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D30,FLEMS,DMYIH,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D30,FLEMS,ECECU,K1,P,C,E  B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,D30,FLEMS,DUCBE,K1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D30,JESAR,JESAR,K1,E,A,E  A, ,   ,IF, ,LAR,K1,D, ,      ,0858,0180,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D30,JESAR,ECECU,K1,P,C,E  B,R,   ,AF, ,LAR,K1,D, ,      ,1116,0180,0858,    ,+,10600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D30,JESAR,DUCBE,K1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D30,LAR,LAR,K1,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
