APPCH:010,A,RNV-A,MCGYR,MCGYR,K7,P,C,EE A,L,   ,HF, , , , , ,      ,    ,    ,1807,0040,+,02000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNV-A, ,MCGYR,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNV-A, ,GIESR,K7,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1807,0080,+,01500,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,R,RNV-A, ,RW18,K7,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,1807,0045, ,00680,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNV-A, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1807,    ,+,00411,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNV-A, ,PEKIY,K7,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNV-A, ,PEKIY,K7,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,0007,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNV-B,PEKIY,PEKIY,K7,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,0007,0040,+,02000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNV-B, ,PEKIY,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNV-B, ,APEAK,K7,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0007,0090,+,01500,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:021,R,RNV-B, ,AMIDS,K7,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,0007,0022,V,00780,00793,     , ,   ,-300,   , , , , , ,B,J,C;
APPCH:030,R,RNV-B, ,RW36,K7,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,0007,0023, ,00060,     ,     , ,   ,-300,   , , , , , ,B,J,C;
APPCH:040,R,RNV-B, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0007,    ,+,00411,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNV-B, ,MCGYR,K7,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNV-B, ,MCGYR,K7,P,C,EE  ,L,   ,HM, , , , , ,      ,    ,    ,1807,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
RWY:RW18 ,     ,-00251,00010,D,    , ,   ;N28590242,W080553150,0315;
RWY:RW36 ,     ,-00251,00010,R,    , ,   ;N28582459,W080552673,0200;
