SID:010,2,BAMV5S,RW03L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0280,    ,+,01500,     ,06000,-,300,    ,   ,GRO,LI,D, ,A, , , ;
SID:020,2,BAMV5S,RW03L, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,1600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAMV5S,RW03L,BAMVU,LI,E,A,EEC , ,   ,CF, ,GRO,LI,D, ,      ,1929,0150,1930,0130,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAMV5W,RW21R, , , , ,    , ,   ,CD, ,GRO,LI,D, ,      ,    ,    ,2080,0060, ,     ,     ,06000,-,300,    ,   ,GRO,LI,D, ,A, , , ;
SID:020,2,BAMV5W,RW21R, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1630,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAMV5W,RW21R,BAMVU,LI,E,A,EEC , ,   ,CF, ,GRO,LI,D, ,      ,1929,0150,1930,0060,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIKI7S,RW03L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0280,    ,+,01500,     ,06000,-,300,    ,   ,GRO,LI,D, ,A, , , ;
SID:020,2,GIKI7S,RW03L, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,1350,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GIKI7S,RW03L,D098M,LI,P,C,E   , ,   ,CF, ,GRO,LI,D, ,      ,0979,0130,0980,0070,+,FL075,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,GIKI7S,RW03L,D098Y,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL085,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,GIKI7S,RW03L,GIKIN,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIKI7W,RW21R, , , , ,    , ,   ,CD, ,GRO,LI,D, ,      ,    ,    ,2080,0060, ,     ,     ,06000,-,300,    ,   ,GRO,LI,D, ,A, , , ;
SID:020,2,GIKI7W,RW21R, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,0400,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GIKI7W,RW21R,D098M,LI,P,C,E   , ,   ,CF, ,GRO,LI,D, ,      ,0979,0130,0980,0080,+,FL075,     ,     , ,   ,    ,   , , , , , , , , ;
