SID:010,2,ALUR4P,RW34,D290H,LF,P,C,E   , ,   ,CF, ,LSE,LF,D, ,      ,2900,0080,3420,0040, ,     ,     ,05000, ,   ,    ,   ,LFLY,LF,P,A, , , , ;
SID:020,2,ALUR4P,RW34,BOBSI,LF,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ALUR4P,RW34,ALURA,LF,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ALUR4T,RW16, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1610,    ,+,01060,     ,05000, ,   ,    ,   ,LFLY,LF,P,A, , , , ;
SID:020,2,ALUR4T,RW16,BR,LF,D,B,E   , ,   ,CF, ,LTP,LF,D, ,      ,2902,0203,1610,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ALUR4T,RW16,D163D,LF,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ALUR4T,RW16,D278I,LF,P,C,EY  , ,   ,CF, ,LTP,LF,D, ,      ,2780,0094,0980,0080, ,     ,     ,     ,-,180,    ,   , , , , , , , , ;
SID:050,2,ALUR4T,RW16, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0120,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,ALUR4T,RW16,DANBO,LF,E,A,E C , ,   ,CF, ,LTP,LF,D, ,      ,3265,0305,3270,0210, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,ALUR4T,RW16,BOBSI,LF,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,ALUR4T,RW16,ALURA,LF,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,BELE4P,RW34, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3410,    ,+,01060,     ,05000, ,   ,    ,   ,LFLY,LF,P,A, , , , ;
SID:010,5,BELE4P,RW34,LY701,LF,P,C,EY  , ,   ,CF, ,LSE,LF,D, ,      ,2901,0079,3420,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,BELE4P,RW34,RONIS,LF,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BELE4P,RW34,MADOT,LF,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BELE4P,RW34,BELEP,LF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BELE4T,RW16, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1610,    ,+,01060,     ,05000, ,   ,    ,   ,LFLY,LF,P,A, , , , ;
