SID:020,4,BOBI2A,RW34,BOBIC,SB,P,C,EB  , ,010,CF, ,SCP,SB,D, ,      ,3386,0035,3370,0025, ,     ,     ,08000, ,   ,    ,   ,SBSJ,SB,P,A, , , , ;
SID:010,6,BOBI2A,DAGUB,BOBIC,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,08000, ,   ,    ,   ,SBSJ,SB,P,A, , , , ;
SID:015,6,BOBI2A,DAGUB,SIKEM,SB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,-,05000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:020,6,BOBI2A,DAGUB,DAGUB,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BOBI2A,NUXEL,BOBIC,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,08000, ,   ,    ,   ,SBSJ,SB,P,A, , , , ;
SID:015,6,BOBI2A,NUXEL,ENLOV,SB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,6,BOBI2A,NUXEL,SJ011,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,6,BOBI2A,NUXEL,KORSA,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,BOBI2A,NUXEL,NUXEL,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BOBI2A,UKBEV,BOBIC,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,08000, ,   ,    ,   ,SBSJ,SB,P,A, , , , ;
SID:020,6,BOBI2A,UKBEV,SJ051,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,BOBI2A,UKBEV,SJ052,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,BOBI2A,UKBEV,UKBEV,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BOBI2A,UKDAN,BOBIC,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,08000, ,   ,    ,   ,SBSJ,SB,P,A, , , , ;
SID:020,6,BOBI2A,UKDAN,SJ059,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,07000,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,6,BOBI2A,UKDAN,BAIAN,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,BOBI2A,UKDAN,UKDAN,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BOBI2A,UMBAD,BOBIC,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,08000, ,   ,    ,   ,SBSJ,SB,P,A, , , , ;
SID:020,6,BOBI2A,UMBAD,SIKEM,SB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,-,05000,     ,     ,-,210,    ,   , , , , , , , , ;
