SID:010,2,AC1P,RW07R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0700,    ,+,00540,     ,18000, ,   ,    ,   ,TSH,VV,D, ,B, , , ;
SID:020,2,AC1P,RW07R,SG,VV,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,AC1P,RW07R,AC,VV,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,AC1Q,RW07L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0700,    ,+,00540,     ,18000, ,   ,    ,   ,TSH,VV,D, ,B, , , ;
SID:020,2,AC1Q,RW07L,TD,VV,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,AC1Q,RW07L,AC,VV,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,AC1R,RW25B, , , , ,    , ,   ,VD, ,TSH,VV,D, ,      ,    ,    ,2500,0043, ,     ,     ,18000, ,   ,    ,   ,TSH,VV,D, ,B, , , ;
SID:020,2,AC1R,RW25B,D212J,VV,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,AC1R,RW25B,D153J,VV,P,C,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,AC1R,RW25B,AC,VV,D,B,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ANRA1P,RW07R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0700,    ,+,00540,     ,18000, ,   ,    ,   ,TSH,VV,D, ,B, , , ;
SID:020,2,ANRA1P,RW07R,SG,VV,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ANRA1P,RW07R,D039M,VV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ANRA1P,RW07R,ANRAN,VV,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ANRA1Q,RW07L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0700,    ,+,00540,     ,18000, ,   ,    ,   ,TSH,VV,D, ,B, , , ;
SID:020,2,ANRA1Q,RW07L,TD,VV,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ANRA1Q,RW07L,D039M,VV,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ANRA1Q,RW07L,ANRAN,VV,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
