SID:010,2,EDAT3A,RW12,D122F,UB,P,C,EY  , ,   ,CF, ,GND,UB,D, ,      ,1232,0059,1220,0040,+,02100,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,EDAT3A,RW12,EDATA,UB,E,A,EEC , ,   ,CF, ,GND,UB,D, ,      ,0960,0415,0910,0360,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,EDAT3B,RW30,GND,UB,D, ,V   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:010,2,EDAT3B,RW30, , , , ,    , ,   ,CD, ,GND,UB,D, ,      ,    ,    ,3020,0010,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EDAT3B,RW30,EDATA,UB,E,A,EEC ,R,   ,CF,Y,GND,UB,D, ,      ,0960,0415,1020,0420,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MATA1B,RW30, , , , ,    , ,   ,CD, ,GND,UB,D, ,      ,    ,    ,3020,0030,+,02000,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,MATA1B,RW30,GND,UB,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,MATA1B,RW30,GND,UB,D, ,V  H,R,   ,HA, , , , , ,      ,    ,    ,2660,T010,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MATA1B,RW30,D266P,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MATA1B,RW30,MATAL,UD,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MATA2A,RW12,D122F,UB,P,C,EY  , ,   ,CF, ,GND,UB,D, ,      ,1232,0059,1220,0040,+,02100,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
SID:020,2,MATA2A,RW12,GND,UB,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,MATA2A,RW12,GND,UB,D, ,V  H,R,   ,HA, , , , , ,      ,    ,    ,2660,T010,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MATA2A,RW12,D266P,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MATA2A,RW12,MATAL,UD,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PEMA1B,RW30, , , , ,    , ,   ,CD, ,GND,UB,D, ,      ,    ,    ,3020,0030,+,02000,     ,07000, ,   ,    ,   ,GND,UB,D, , , , , ;
