SID:010,2,GENE6E,RW08L,D268D,OJ,P,C,EY  , ,   ,CF, ,QAA,OJ,D, ,      ,2674,0040,0760,0050, ,     ,     ,13000, ,   ,    ,   ,OJAI,OJ,P,A, , , , ;
SID:020,2,GENE6E,RW08L,D104Q,OJ,P,C,E   , ,   ,CF, ,QAA,OJ,D, ,      ,1033,0174,1040,0190,+,13000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,GENE6E,RW08L,GENEX,OE,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,GENE6T,RW08L,DE08L,OJ,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,13000, ,   ,    ,   ,OJAI,OJ,P,A, , , , ;
SID:020,5,GENE6T,RW08L,KITUT,OJ,P,C,EY  , ,   ,CF, ,AMN,OJ,D, ,      ,1699,0156,0760,0044,+,04300,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,GENE6T,RW08L,AI809,OJ,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,GENE6T,RW08L,KINUR,OJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     ,-,250,    ,   , , , , , , , , ;
SID:050,5,GENE6T,RW08L,ELOXI,OJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,GENE6T,RW08L,GENEX,OE,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,KINU3D,RW08R,QA,OJ,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,13000, ,   ,    ,   ,OJAI,OJ,P,A, , , , ;
SID:030,2,KINU3D,RW08R, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,0750,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KINU3D,RW08R,ALNOR,OJ,E,A,E C , ,   ,CF, ,QAA,OJ,D, ,      ,1034,0141,1050,0140,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
