SID:010,2,BLV1D,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2160,    ,+,02090,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,BLV1D,RW22,VRA,LE,D, ,VY  , ,   ,CF, ,VRA,LE,D, ,      ,0000,0000,2150,0100,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BLV1D,RW22, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,0260,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,BLV1D,RW22,BLV,LE,D, ,VE  , ,   ,CF, ,VRA,LE,D, ,      ,3549,0345,3550,0280, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,CEGA3B,RW04,VTA,LE,D,B,E   , ,   ,CF, ,VRA,LE,D, ,      ,0348,0144,0360,0030,+,02500,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,CEGA3B,RW04,ZURIA,LE,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,CEGA3B,RW04,CEGAM,LE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,CEGA3F,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2160,    ,+,02090,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,CEGA3F,RW22,VRA,LE,D, ,VY  , ,   ,CF, ,VRA,LE,D, ,      ,0000,0000,2150,0100,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,CEGA3F,RW22,D090N,LE,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,185,    ,   , , , , , , , , ;
SID:040,2,CEGA3F,RW22,CEGAM,LE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DGO1B,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2160,    ,+,02090,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,DGO1B,RW22,VRA,LE,D, ,V   , ,   ,CF, ,VRA,LE,D, ,      ,0000,0000,2150,0100,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DGO1B,RW22,DGO,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DGO3A,RW04,VTA,LE,D,B,E   , ,   ,CF, ,VRA,LE,D, ,      ,0348,0144,0360,0030,+,02500,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,DGO3A,RW04,ZURIA,LE,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,DGO3A,RW04,DGO,LE,D, ,VE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NEA3D,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2160,    ,+,02090,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,NEA3D,RW22,VRA,LE,D, ,V   , ,   ,CF, ,VRA,LE,D, ,      ,0000,0000,2150,0100,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,NEA3D,RW22,NEA,LE,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     ,-,210,    ,   , , , , , , , , ;
SID:010,2,PPN1D,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2160,    ,+,02090,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,PPN1D,RW22,VRA,LE,D, ,VY  , ,   ,CF, ,VRA,LE,D, ,      ,0000,0000,2150,0100,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
