SID:010,5,ATEN1Z,RW07L,DE07L,VH,P,C,EY  , ,010,CF, ,TD,VH,D, ,      ,2866,0216,0740,0010, ,     ,     ,09000, ,   ,    ,   ,VHHH,VH,P,A, , , , ;
SID:020,5,ATEN1Z,RW07L,DE07L,VH,P,C,E   , ,010,FA, ,TD,VH,D, ,      ,2866,0216,0740,    ,+,00430,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ATEN1Z,RW07L,ROVER,VH,P,C,E   , ,010,CF, ,TD,VH,D, ,      ,2941,0158,0890,0060,-,05000,     ,     ,+,205,    ,   , , , , , , , , ;
SID:040,5,ATEN1Z,RW07L,RUSUG,VH,P,C,E   ,R,010,RF, , , , , ,003080,    ,    ,    ,0051, ,     ,     ,     , ,   ,    ,   ,VH993,VH,P,C, , , , ;
SID:050,5,ATEN1Z,RW07L,RAMEN,VH,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,220,    ,   , , , , , , , , ;
SID:060,5,ATEN1Z,RW07L,COLEY,VH,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ATEN1Z,RW07L,ATENA,VH,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ATEN1Z,RW07L,BEKOL,ZG,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL157,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ATEN2E,RW07L,DE07L,VH,P,C,EY  , ,010,CF, ,TD,VH,D, ,      ,2866,0216,0740,0010, ,     ,     ,09000, ,   ,    ,   ,VHHH,VH,P,A, , , , ;
SID:020,5,ATEN2E,RW07L,DE07L,VH,P,C,E   , ,010,FA, ,TD,VH,D, ,      ,2866,0216,0740,    ,+,00430,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ATEN2E,RW07L,ROVER,VH,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,-,05000,     ,     ,+,205,    ,   , , , , , , , , ;
SID:040,5,ATEN2E,RW07L,RAMEN,VH,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,220,    ,   , , , , , , , , ;
SID:050,5,ATEN2E,RW07L,COLEY,VH,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
