APPCH:010,A,N06,CHS,CHS,K7,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,N06,CHS,DYB,K7,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N06,CHS,DYB,K7,D,B,E  A,L,   ,PI, ,ECG,K7,D, ,      ,2349,2790,2920,0100,+,02100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,N06,CHS,FF06,K7,P,C,EE  , ,   ,CF, ,ECG,K7,D, ,      ,2352,2855,0670,0033,+,02100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,N06,SACKS,SACKS,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,N06,SACKS,DYB,K7,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N06,SACKS,DYB,K7,D,B,E  A,L,   ,PI, ,ECG,K7,D, ,      ,2349,2790,2920,0100,+,02100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,N06,SACKS,FF06,K7,P,C,EE  , ,   ,CF, ,ECG,K7,D, ,      ,2352,2855,0670,0033,+,02100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N06, ,FF06,K7,P,C,E  F, ,   ,IF, ,DYB,K7,D,B,      ,    ,    ,    ,    ,+,02100,     ,18000, ,   ,    ,   ,DYB,K7,D,B, ,0, ,S;
APPCH:030,N,N06, ,RW06,K7,P,G,G  M, ,   ,CF, ,DYB,K7,D,B,      ,    ,    ,0670,0062, ,00078,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N06, ,DYB,K7,D,B,EYM , ,   ,CF, ,ECG,K7,D, ,      ,2349,2790,0670,0006, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N06, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0670,    ,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N06, ,DYB,K7,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:070,N,N06, ,DYB,K7,D,B,EE H,L,   ,HM, , , , , ,      ,    ,    ,0670,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,R06,HERMN,HERMN,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R06,HERMN,INARE,K7,P,C,EY  , ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R06,HERMN,INARE,K7,P,C,EE C,L,   ,HF, , , , , ,      ,    ,    ,0560,0040,+,02600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R06,SACKS,SACKS,K7,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R06,SACKS,INARE,K7,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R06, ,INARE,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
