SID:005,2,WO1,RW25,DER25,EN,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,00150,     ,03000, ,   ,    ,   ,WDT,EH,D, , , , , ;
SID:010,2,WO1,RW25, , , , ,    , ,   ,CD, ,WDT,EH,D, ,      ,    ,    ,2480,0009, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,WO1,RW25,WDT,EH,D, ,V   , ,   ,FD, ,WDT,EH,D, ,      ,0000,0000,2550,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,WO1,RW25,D264L,EH,P,C,E   ,R,   ,CF,Y,GZR,EH,D, ,      ,2640,0120,0840,0160, ,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,WO1,RW25, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0840,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,WO1,RW25,D017I,EH,E,A,E   ,R,   ,AF, ,GZR,EH,D, ,      ,0170,0090,2640,    , ,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,WO1,RW25,D024P,EH,P,C,EY  , ,   ,CF, ,GZR,EH,D, ,      ,0240,0160,0240,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:065,2,WO1,RW25, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1950,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,WO1,RW25,GZR,EH,D, ,VE  , ,   ,CF, ,GZR,EH,D, ,      ,0000,0000,2250,0140, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,WO3,RW07, , , , ,    , ,   ,CD, ,WDT,EH,D, ,      ,    ,    ,0680,0009, ,     ,     ,03000, ,   ,    ,   ,WDT,EH,D, , , , , ;
SID:020,2,WO3,RW07,WDT,EH,D, ,V   , ,   ,FD, ,WDT,EH,D, ,      ,0000,0000,0540,0030, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,WO3,RW07, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0540,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,WO3,RW07,D255L,EH,P,C,E   , ,   ,CF, ,GZR,EH,D, ,      ,2550,0120,0750,0070, ,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,WO3,RW07, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0750,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,WO3,RW07,D017I,EH,E,A,E   ,R,   ,AF, ,GZR,EH,D, ,      ,0170,0090,2550,    , ,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
