SID:010,5,EKUT1A,RW11, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,1070,    ,+,02000,     ,04000, ,   ,    ,   ,SBEG,SB,P,A, , , , ;
SID:020,5,EKUT1A,RW11,EKUTU,SB,E,A,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,-,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EKUT1A,RW11,TEPEM,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,GAVA1A,RW11, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,1070,    ,+,02000,     ,04000, ,   ,    ,   ,SBEG,SB,P,A, , , , ;
SID:020,5,GAVA1A,RW11,KOMGA,SB,E,A,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,GAVA1A,RW11,VURIV,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,GAVA1A,RW11,GAVAP,SB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,GAVA1A,DEMIT,GAVAP,SB,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,SBEG,SB,P,A, , , , ;
SID:020,6,GAVA1A,DEMIT,DEMIT,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,GAVA1A,DOKBU,GAVAP,SB,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,SBEG,SB,P,A, , , , ;
SID:020,6,GAVA1A,DOKBU,DOKBU,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,GAVA1A,EGBEM,GAVAP,SB,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,SBEG,SB,P,A, , , , ;
SID:020,6,GAVA1A,EGBEM,EGBEM,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,GAVA1B,RW29, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2870,    ,+,02000,     ,04000, ,   ,    ,   ,SBEG,SB,P,A, , , , ;
