SID:010,4,AKRE1A,RW28L,ISNAP,SB,P,C,E   , ,010,CF, ,CGO,SB,D, ,      ,0449,0109,2780,0052, ,     ,     ,08000, ,   ,    ,   ,SBGR,SB,P,A,B, , , ;
SID:020,4,AKRE1A,RW28L,GR048,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AKRE1A,RW28L,AKRER,SB,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AKRE1A,RW28R,ISNAP,SB,P,C,E   , ,010,CF, ,CGO,SB,D, ,      ,0449,0109,2760,0055, ,     ,     ,08000, ,   ,    ,   ,SBGR,SB,P,A,B, , , ;
SID:020,4,AKRE1A,RW28R,GR048,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AKRE1A,RW28R,AKRER,SB,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,AKRE1A,ASETA,AKRER,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,08000, ,   ,    ,   ,SBGR,SB,P,A,B, , , ;
SID:020,6,AKRE1A,ASETA,GR219,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,AKRE1A,ASETA,GR049,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,AKRE1A,ASETA,GR051,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,AKRE1A,ASETA,GR052,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,AKRE1A,ASETA,LESSA,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,6,AKRE1A,ASETA,ASETA,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,AKRE1A,EGEVA,AKRER,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,08000, ,   ,    ,   ,SBGR,SB,P,A,B, , , ;
SID:020,6,AKRE1A,EGEVA,GR219,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,AKRE1A,EGEVA,GR049,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,AKRE1A,EGEVA,GR051,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,AKRE1A,EGEVA,GR052,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,AKRE1A,EGEVA,LESSA,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,6,AKRE1A,EGEVA,EGEVA,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,AKRE1A,MADNI,AKRER,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,08000, ,   ,    ,   ,SBGR,SB,P,A,B, , , ;
SID:020,6,AKRE1A,MADNI,GR219,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,AKRE1A,MADNI,MADNI,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,AKRE1A,SOVSI,AKRER,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,08000, ,   ,    ,   ,SBGR,SB,P,A,B, , , ;
SID:020,6,AKRE1A,SOVSI,GR219,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,AKRE1A,SOVSI,SOVSI,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,AKRE1A,UBSOD,AKRER,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,08000, ,   ,    ,   ,SBGR,SB,P,A,B, , , ;
SID:020,6,AKRE1A,UBSOD,GR219,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,AKRE1A,UBSOD,UBSOD,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,AMVU4A,RW10L,AMVUL,SB,P,C,EE  , ,010,CF, ,CGO,SB,D, ,      ,0719,0211,0940,0050, ,     ,     ,08000, ,   ,    ,   ,SBGR,SB,P,A,B, , , ;
SID:010,6,AMVU4A,NUXEL,AMVUL,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,08000, ,   ,    ,   ,SBGR,SB,P,A,B, , , ;
SID:020,6,AMVU4A,NUXEL,GR222,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,AMVU4A,NUXEL,GR217,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,AMVU4A,NUXEL,GR218,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,AMVU4A,NUXEL,VUMEV,SB,E,A,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,AMVU4A,NUXEL,NUXEL,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,AMVU4A,UKBEV,AMVUL,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,08000, ,   ,    ,   ,SBGR,SB,P,A,B, , , ;
SID:020,6,AMVU4A,UKBEV,GR222,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,AMVU4A,UKBEV,GR217,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,AMVU4A,UKBEV,GR218,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,AMVU4A,UKBEV,GR223,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
