SID:010,2,ADEK2A,RW16,D161F,UB,P,C,EY  , ,   ,CF, ,QBL,UB,D, ,      ,1611,0065,1610,0050,+,02500,     ,04000,-,220,    ,   ,QBL,UB,D, , , , , ;
SID:020,2,ADEK2A,RW16,D207F,UB,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ADEK2A,RW16,QBL,UB,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ADEK2A,RW16,QBL,UB,D, ,V  H,L,   ,HA, , , , , ,      ,    ,    ,3410,T010,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ADEK2A,RW16,ADEKI,UG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADEK2B,RW34,D341E,UB,P,C,EY  , ,   ,CF, ,QBL,UB,D, ,      ,3408,0044,3410,0050,+,02500,     ,04000,-,190,    ,   ,QBL,UB,D, , , , , ;
SID:020,2,ADEK2B,RW34,D276D,UB,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ADEK2B,RW34,QBL,UB,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ADEK2B,RW34,QBL,UB,D, ,V  H,L,   ,HA, , , , , ,      ,    ,    ,3410,T010,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ADEK2B,RW34,ADEKI,UG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BEKI1A,RW16,D161F,UB,P,C,EY  , ,   ,CF, ,QBL,UB,D, ,      ,1611,0065,1610,0050,+,02500,     ,04000,-,220,    ,   ,QBL,UB,D, , , , , ;
SID:020,2,BEKI1A,RW16,D207F,UB,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BEKI1A,RW16,QBL,UB,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
