APPCH:010,A,R08,ETOHO,ETOHO,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R08,ETOHO,JINTO,K1,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,0792,0089,+,04500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R08,YOYNO,YOYNO,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R08,YOYNO,JINTO,K1,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,3469,0110,+,04500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R08, ,JINTO,K1,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R08, ,CIBMI,K1,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,0768,0061,+,04200,     ,     , ,   ,    ,   ,RW08,K1,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R08, ,RW08,K1,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,0770,0049, ,02621,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R08, ,COSOG,K1,P,C,E M , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R08, ,ARHUF,K1,P,C,E   ,L,010,TF,Y, , , , ,      ,    ,    ,3472,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R08, ,FIKOB,K1,P,C,E   ,L,010,TF,Y, , , , ,      ,    ,    ,2570,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:070,R,R08, ,ETOHO,K1,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,2305,    ,+,08000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:080,R,R08, ,ETOHO,K1,E,A,EE  ,R,020,HM, , , , , ,      ,    ,    ,0769,0070,+,08000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R26,HVR,HVR,K1,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R26,HVR,JEPAL,K1,P,C,EY  , ,020,TF, , , , , ,      ,    ,    ,0760,0118,+,05500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R26,HVR,JEPAL,K1,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,2573,0050,+,05500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R26,ISITE,ISITE,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R26,ISITE,JEPAL,K1,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,2769,0086,+,05500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R26, ,JEPAL,K1,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R26, ,COSOG,K1,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,2573,0061,+,04200,     ,     , ,   ,    ,   ,RW26,K1,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R26, ,RW26,K1,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,2572,0049, ,02618,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R26, ,CIBMI,K1,P,C,E M , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R26, ,ETOHO,K1,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,2585,    ,+,08000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R26, ,ETOHO,K1,E,A,EE  ,R,020,HM, , , , , ,      ,    ,    ,0769,0070,+,08000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW03 ,     ,      ,02591,D,    , ,   ;N48321650,W109460545,0000;
RWY:RW08 ,     ,      ,02581,R,    , ,   ;N48323857,W109462199,0000;
RWY:RW21 ,     ,      ,02584,D,    , ,   ;N48324229,W109452655,0000;
RWY:RW26 ,     ,      ,02580,R,    , ,   ;N48323852,W109450464,0000;
